0.06% Epoch [1/2], Step [1/809], Loss: 9.2001, Perplexity: 9898.3165
0.12% Epoch [1/2], Step [2/809], Loss: 9.0370, Perplexity: 8408.4470
0.19% Epoch [1/2], Step [3/809], Loss: 8.8353, Perplexity: 6872.3497
0.25% Epoch [1/2], Step [4/809], Loss: 8.5700, Perplexity: 5271.0075
0.31% Epoch [1/2], Step [5/809], Loss: 8.0865, Perplexity: 3250.2581
0.37% Epoch [1/2], Step [6/809], Loss: 7.5103, Perplexity: 1826.6799
0.43% Epoch [1/2], Step [7/809], Loss: 6.7504, Perplexity: 854.3797
0.49% Epoch [1/2], Step [8/809], Loss: 6.2310, Perplexity: 508.2870
0.56% Epoch [1/2], Step [9/809], Loss: 5.6453, Perplexity: 282.9703
0.62% Epoch [1/2], Step [10/809], Loss: 5.2950, Perplexity: 199.3464
0.68% Epoch [1/2], Step [11/809], Loss: 5.2047, Perplexity: 182.1327
0.74% Epoch [1/2], Step [12/809], Loss: 4.9301, Perplexity: 138.3900
0.80% Epoch [1/2], Step [13/809], Loss: 4.7238, Perplexity: 112.5979
0.87% Epoch [1/2], Step [14/809], Loss: 4.8300, Perplexity: 125.2092
0.93% Epoch [1/2], Step [15/809], Loss: 4.8609, Perplexity: 129.1440
0.99% Epoch [1/2], Step [16/809], Loss: 4.6832, Perplexity: 108.1120
1.05% Epoch [1/2], Step [17/809], Loss: 4.7708, Perplexity: 118.0096
1.11% Epoch [1/2], Step [18/809], Loss: 4.5847, Perplexity: 97.9712
1.17% Epoch [1/2], Step [19/809], Loss: 4.6258, Perplexity: 102.0810
1.24% Epoch [1/2], Step [20/809], Loss: 5.4391, Perplexity: 230.2443
1.30% Epoch [1/2], Step [21/809], Loss: 4.5682, Perplexity: 96.3692
1.36% Epoch [1/2], Step [22/809], Loss: 4.4940, Perplexity: 89.4797
1.42% Epoch [1/2], Step [23/809], Loss: 4.4958, Perplexity: 89.6389
1.48% Epoch [1/2], Step [24/809], Loss: 4.4323, Perplexity: 84.1284
1.55% Epoch [1/2], Step [25/809], Loss: 5.0232, Perplexity: 151.8900
1.61% Epoch [1/2], Step [26/809], Loss: 4.4119, Perplexity: 82.4261
1.67% Epoch [1/2], Step [27/809], Loss: 4.5018, Perplexity: 90.1816
1.73% Epoch [1/2], Step [28/809], Loss: 4.4805, Perplexity: 88.2764
1.79% Epoch [1/2], Step [29/809], Loss: 4.3832, Perplexity: 80.0955
1.85% Epoch [1/2], Step [30/809], Loss: 4.4118, Perplexity: 82.4200
1.92% Epoch [1/2], Step [31/809], Loss: 4.4224, Perplexity: 83.2975
1.98% Epoch [1/2], Step [32/809], Loss: 4.6537, Perplexity: 104.9716
2.04% Epoch [1/2], Step [33/809], Loss: 4.5782, Perplexity: 97.3437
2.10% Epoch [1/2], Step [34/809], Loss: 4.3128, Perplexity: 74.6464
2.16% Epoch [1/2], Step [35/809], Loss: 4.2548, Perplexity: 70.4452
2.22% Epoch [1/2], Step [36/809], Loss: 4.2120, Perplexity: 67.4916
2.29% Epoch [1/2], Step [37/809], Loss: 4.2393, Perplexity: 69.3612
2.35% Epoch [1/2], Step [38/809], Loss: 4.1899, Perplexity: 66.0154
2.41% Epoch [1/2], Step [39/809], Loss: 4.2459, Perplexity: 69.8171
2.47% Epoch [1/2], Step [40/809], Loss: 4.1842, Perplexity: 65.6408
2.53% Epoch [1/2], Step [41/809], Loss: 4.2391, Perplexity: 69.3420
2.60% Epoch [1/2], Step [42/809], Loss: 4.1863, Perplexity: 65.7768
2.66% Epoch [1/2], Step [43/809], Loss: 4.1338, Perplexity: 62.4126
2.72% Epoch [1/2], Step [44/809], Loss: 4.1087, Perplexity: 60.8678
2.78% Epoch [1/2], Step [45/809], Loss: 4.1154, Perplexity: 61.2797
2.84% Epoch [1/2], Step [46/809], Loss: 4.0911, Perplexity: 59.8047
2.90% Epoch [1/2], Step [47/809], Loss: 4.2935, Perplexity: 73.2235
2.97% Epoch [1/2], Step [48/809], Loss: 4.0847, Perplexity: 59.4244
3.03% Epoch [1/2], Step [49/809], Loss: 4.2610, Perplexity: 70.8791
3.09% Epoch [1/2], Step [50/809], Loss: 4.1483, Perplexity: 63.3246
3.15% Epoch [1/2], Step [51/809], Loss: 4.0934, Perplexity: 59.9430
3.21% Epoch [1/2], Step [52/809], Loss: 4.0835, Perplexity: 59.3505
3.28% Epoch [1/2], Step [53/809], Loss: 3.9956, Perplexity: 54.3603
3.34% Epoch [1/2], Step [54/809], Loss: 4.1166, Perplexity: 61.3486
3.40% Epoch [1/2], Step [55/809], Loss: 4.3397, Perplexity: 76.6844
3.46% Epoch [1/2], Step [56/809], Loss: 4.1149, Perplexity: 61.2480
3.52% Epoch [1/2], Step [57/809], Loss: 3.9141, Perplexity: 50.1023
3.58% Epoch [1/2], Step [58/809], Loss: 3.9435, Perplexity: 51.6005
